Surec_Bileseni_Kodu,Surec_Bileseni_Adi,Gosterge_Kodu,Gosterge_Aciklamasi
SDB1.1.SB1,Öğreneceği yeni konu/kavram veya bilgiyi nasıl öğrendiğini belirlemek,SDB1.1.SB1.G1,Merak etmenin öğrenmeye etkisini fark eder.
SDB1.1.SB1,Öğreneceği yeni konu/kavram veya bilgiyi nasıl öğrendiğini belirlemek,SDB1.1.SB1.G2,Merak ettiği konu/kavrama ilişkin soru sorar.
SDB1.1.SB2,Olaylar/durumlar karşısında hangi duyguları yaşadığını fark etmek,SDB1.1.SB2.G1,Duygularını sözel olarak ifade eder.
SDB1.1.SB2,Olaylar/durumlar karşısında hangi duyguları yaşadığını fark etmek,SDB1.1.SB2.G2,Duygularını farklı yollarla ifade eder.
SDB1.1.SB2,Olaylar/durumlar karşısında hangi duyguları yaşadığını fark etmek,SDB1.1.SB2.G3,Duygularının değişebileceğini fark eder.
SDB1.1.SB2,Olaylar/durumlar karşısında hangi duyguları yaşadığını fark etmek,SDB1.1.SB2.G4,Duyguları ve davranışları arasındaki ilişkiyi söyler.
SDB1.1.SB3,Kendi duygularına ilişkin farkındalığını artırmaya yönelik çalışmalar yapmak,SDB1.1.SB3.G1,İyi hissettiren duyguların neler olduğunu bilir.
SDB1.1.SB3,Kendi duygularına ilişkin farkındalığını artırmaya yönelik çalışmalar yapmak,SDB1.1.SB3.G2,Kötü hissettiren duyguların neler olduğunu bilir.
SDB1.2.SB1,İhtiyaçlarını karşılamaya yönelik hedef belirlemek,SDB1.2.SB1.G1,İhtiyaçlarının olduğunu fark eder.
SDB1.2.SB1,İhtiyaçlarını karşılamaya yönelik hedef belirlemek,SDB1.2.SB1.G2,İhtiyaçlarını tanımlar.
SDB1.2.SB1,İhtiyaçlarını karşılamaya yönelik hedef belirlemek,SDB1.2.SB1.G3,İhtiyaçlarına yönelik hedef tanımlar.
SDB1.2.SB2,Motivasyonunu ayarlamak,SDB1.2.SB2.G1,İlgisini çekecek bir etkinliğe katılmak için harekete geçer.
SDB1.2.SB2,Motivasyonunu ayarlamak,SDB1.2.SB2.G2,Yapmak istediği etkinlik için uygun materyal arar.
SDB1.2.SB2,Motivasyonunu ayarlamak,SDB1.2.SB2.G3,Katılacağı etkinlik için ortamı düzenler.
SDB1.2.SB2,Motivasyonunu ayarlamak,SDB1.2.SB2.G4,Katıldığı etkinliğe dikkatini verir.
SDB1.2.SB2,Motivasyonunu ayarlamak,SDB1.2.SB2.G5,Katıldığı etkinliği sonuna kadar devam ettirir.
SDB1.2.SB3,Bir hedefi gerçekleştirebilmek için kendi duygu düşünce ve davranışlarını izlemek ve yönetmek,SDB1.2.SB3.G1,Hedefini gerçekleştirmek için duygu ve davranışlarını kontrol eder.
SDB1.2.SB3,Bir hedefi gerçekleştirebilmek için kendi duygu düşünce ve davranışlarını izlemek ve yönetmek,SDB1.2.SB3.G2,Hedefini gerçekleştirmek için duygu ve davranışlarında olumlu düzenlemeler yapar.
SDB1.2.SB3,Bir hedefi gerçekleştirebilmek için kendi duygu düşünce ve davranışlarını izlemek ve yönetmek,SDB1.2.SB3.G3,Gerektiğinde isteklerini erteler.
SDB1.2.SB3,Bir hedefi gerçekleştirebilmek için kendi duygu düşünce ve davranışlarını izlemek ve yönetmek,SDB1.2.SB3.G4,Koşula/duruma uygun şekilde tepkilerini kontrol eder.
SDB1.2.SB4,Bir hedefi gerçekleştirebilme sürecinde kendini değerlendirmek,SDB1.2.SB4.G1,Davranışlarının olası sonuçlarını fark eder.
SDB1.2.SB4,Bir hedefi gerçekleştirebilme sürecinde kendini değerlendirmek,SDB1.2.SB4.G2,Olası sonuçları düşünerek davranışlarını uyarlar.
SDB1.2.SB5,Kendi öğrenme durumunu geliştirmeye yönelik çalışmalar yapmak,SDB1.2.SB5.G1,Merak ettiği konu/kavramları öğrenmek için uygun yöntem geliştirir.
SDB1.2.SB5,Kendi öğrenme durumunu geliştirmeye yönelik çalışmalar yapmak,SDB1.2.SB5.G2,Geliştirdiği yöntemi uygular.
SDB1.2.SB5,Kendi öğrenme durumunu geliştirmeye yönelik çalışmalar yapmak,SDB1.2.SB5.G3,Yöntemi uygularken karşılaştığı sorunları fark eder.
SDB1.2.SB5,Kendi öğrenme durumunu geliştirmeye yönelik çalışmalar yapmak,SDB1.2.SB5.G4,Karşılaştığı sorunlara çözüm önerileri geliştirir.
SDB1.3.SB1,Kendini değerlendirmek,SDB1.3.SB1.G1,Mevcut duygu düşünce ve davranışlarını inceler.
SDB1.3.SB1,Kendini değerlendirmek,SDB1.3.SB1.G2,Mevcut duygu düşünce ve davranışlarını yorumlar.
SDB1.3.SB2,Duygu/düşünce/davranışlarını dönüştürmek,SDB1.3.SB2.G1,İsteği engellendiğinde nedenini nazik bir şekilde sorar.
SDB1.3.SB2,Duygu/düşünce/davranışlarını dönüştürmek,SDB1.3.SB2.G2,Verilen cevabı dinler.
SDB1.3.SB2,Duygu/düşünce/davranışlarını dönüştürmek,SDB1.3.SB2.G3,İsteği engellendiğinde uygun tepkiler göstermeye gayret eder.
SDB2.1.SB1,Başkalarını etkin şekilde dinlemek,SDB2.1.SB1.G1,Dinlerken göz teması kurar.
SDB2.1.SB1,Başkalarını etkin şekilde dinlemek,SDB2.1.SB1.G2,Muhatabının sözünü kesmeden dinler.
SDB2.1.SB1,Başkalarını etkin şekilde dinlemek,SDB2.1.SB1.G3,Konuşmak için sırasını bekler.
SDB2.1.SB1,Başkalarını etkin şekilde dinlemek,SDB2.1.SB1.G4,Konuşanı dinlediğini belirten jest ve mimikler kullanır.
SDB2.1.SB1,Başkalarını etkin şekilde dinlemek,SDB2.1.SB1.G5,Nazik bir ifadeyle söze girer.
SDB2.1.SB2,Duygu düşünceleri ifade etmek,SDB2.1.SB2.G1,Duygu ve düşüncelerini fark eder.
SDB2.1.SB2,Duygu düşünceleri ifade etmek,SDB2.1.SB2.G2,Duygu ve düşüncelerini ifade etmek için uygun zaman ve ortamı belirler.
SDB2.1.SB2,Duygu düşünceleri ifade etmek,SDB2.1.SB2.G3,Duygu ve düşüncelerini beden dili ile uyumlu olarak açıklar.
SDB2.1.SB2,Duygu düşünceleri ifade etmek,SDB2.1.SB2.G4,Duygu ve düşüncelerini bağlama uygun olarak açıklar.
SDB2.1.SB3,Sözlü ya da sözsüz olarak etkileşim sağlamak,SDB2.1.SB3.G1,Sözlü/sözsüz etkileşimi fark eder.
SDB2.1.SB3,Sözlü ya da sözsüz olarak etkileşim sağlamak,SDB2.1.SB3.G2,Selam alacağı/vereceği kişiye yönelir.
SDB2.1.SB3,Sözlü ya da sözsüz olarak etkileşim sağlamak,SDB2.1.SB3.G3,Göz teması kurar.
SDB2.1.SB3,Sözlü ya da sözsüz olarak etkileşim sağlamak,SDB2.1.SB3.G4,Güleryüzün iletişime katkılarını fark eder.
SDB2.1.SB3,Sözlü ya da sözsüz olarak etkileşim sağlamak,SDB2.1.SB3.G5,Nazik bir ses tonu ile selam verir/alır.
SDB2.1.SB3,Sözlü ya da sözsüz olarak etkileşim sağlamak,SDB2.1.SB3.G6,Konuşurken sesini ayarlar.
SDB2.1.SB3,Sözlü ya da sözsüz olarak etkileşim sağlamak,SDB2.1.SB3.G7,Konuşma hızını ayarlar.
SDB2.1.SB3,Sözlü ya da sözsüz olarak etkileşim sağlamak,SDB2.1.SB3.G8,İletişim kurduğu kişiyle arasındaki mesafeyi ayarlar.
SDB2.1.SB3,Sözlü ya da sözsüz olarak etkileşim sağlamak,SDB2.1.SB3.G9,Anlamadığı durum/konuya ilişkin sorular sorar.
SDB2.1.SB4,Grup iletişimine katılmak,SDB2.1.SB4.G1,Grup iletişimine katılmaya istekli olur.
SDB2.1.SB4,Grup iletişimine katılmak,SDB2.1.SB4.G2,Grup üyelerinin duygu ve düşüncelerine ilgi gösterir.
SDB2.1.SB4,Grup iletişimine katılmak,SDB2.1.SB4.G3,Grup içi iletişime katkıda bulunur.
SDB2.1.SB5,İletişiminin önündeki engelleri ortadan kaldırmak,SDB2.1.SB5.G1,Konuşmak için muhatabının konuşmasının/işinin bitmesini bekler.
SDB2.1.SB5,İletişiminin önündeki engelleri ortadan kaldırmak,SDB2.1.SB5.G2,Konuşmak istediğini belirtmek için mimiklerini kullanır.
SDB2.1.SB5,İletişiminin önündeki engelleri ortadan kaldırmak,SDB2.1.SB5.G3,Nazik bir ifadeyle söz ister.
SDB2.2.SB1,Kişi ve gruplarla iş birliği yapmak,SDB2.2.SB1.G1,İş birliği yapmak istediği kişi ve akran grupları ile iletişim kurar.
SDB2.2.SB1,Kişi ve gruplarla iş birliği yapmak,SDB2.2.SB1.G2,Gerektiğinde kişi ve gruplarla iş birliği yapar.
SDB2.2.SB2,Düşüncelerini başkalarıyla tartışmak/müzakere etmek,SDB2.2.SB2.G1,Uygun koşullar altında düşüncelerini başkalarıyla tartışır.
SDB2.2.SB2,Düşüncelerini başkalarıyla tartışmak/müzakere etmek,SDB2.2.SB2.G2,Akran grupları ile alınacak kararlarda konuyla ilgili düşüncelerini söyler.
SDB2.2.SB2,Düşüncelerini başkalarıyla tartışmak/müzakere etmek,SDB2.2.SB2.G3,Düşüncelerini söylerken nazik bir şekilde ifade eder.
SDB2.2.SB3,Farklı düşünceler üzerinde uzlaşma sağlayıp ortaklıklar kurmak,SDB2.2.SB3.G1,Başkalarının kendisinden farklı düşündüğünü fark eder.
SDB2.2.SB3,Farklı düşünceler üzerinde uzlaşma sağlayıp ortaklıklar kurmak,SDB2.2.SB3.G2,Düşünceler arasındaki farklılıkları belirler.
SDB2.2.SB3,Farklı düşünceler üzerinde uzlaşma sağlayıp ortaklıklar kurmak,SDB2.2.SB3.G3,Düşünceler arasındaki ortaklıkları/uyuşmaları belirler.
SDB2.2.SB3,Farklı düşünceler üzerinde uzlaşma sağlayıp ortaklıklar kurmak,SDB2.2.SB3.G4,Alternatif fikirler ortaya koyar.
SDB2.2.SB3,Farklı düşünceler üzerinde uzlaşma sağlayıp ortaklıklar kurmak,SDB2.2.SB3.G5,Farklı düşünceler üzerinde uzlaşmak için çözüm arar.
SDB2.2.SB3,Farklı düşünceler üzerinde uzlaşma sağlayıp ortaklıklar kurmak,SDB2.2.SB3.G6,Eleştirilerin kişilere değil fikirlere yönelik olmasına dikkat eder.
SDB2.2.SB3,Farklı düşünceler üzerinde uzlaşma sağlayıp ortaklıklar kurmak,SDB2.2.SB3.G7,Kendisiyle ilgili olumlu/olumsuz görüşleri dinler.
SDB2.2.SB3,Farklı düşünceler üzerinde uzlaşma sağlayıp ortaklıklar kurmak,SDB2.2.SB3.G8,Eleştirileri sözlü ya da davranışla geri bildirim verir.
SDB2.2.SB4,Ekip (takım) çalışması yapmak ve yardımlaşmak,SDB2.2.SB4.G1,Yardımlaşma ve takım çalışmasının önemini fark eder.
SDB2.2.SB4,Ekip (takım) çalışması yapmak ve yardımlaşmak,SDB2.2.SB4.G2,Ortak hedefler doğrultusunda takım oluşturur ya da var olan bir takıma dâhil olur.
SDB2.2.SB4,Ekip (takım) çalışması yapmak ve yardımlaşmak,SDB2.2.SB4.G3,Diğer üyelerle görev paylaşımı yapar.
SDB2.2.SB4,Ekip (takım) çalışması yapmak ve yardımlaşmak,SDB2.2.SB4.G4,Diğer üyelerle yardımlaşır.
SDB2.2.SB4,Ekip (takım) çalışması yapmak ve yardımlaşmak,SDB2.2.SB4.G5,Aldığı görevleri yerine getirerek takıma katkı sağlar.
SDB2.2.SB4,Ekip (takım) çalışması yapmak ve yardımlaşmak,SDB2.2.SB4.G6,Takım üyeleri ile saygı ve güven bağları kurar.
SDB2.2.SB4,Ekip (takım) çalışması yapmak ve yardımlaşmak,SDB2.2.SB4.G7,Gerektiğinde liderliği üstlenir.
SDB2.2.SB5,Sosyal etkileşimlerle elde edilen çıktıları eyleme dönüştürme,SDB2.2.SB5.G1,Sosyal etkileşim yoluyla öğrendiği davranışları fark eder.
SDB2.2.SB5,Sosyal etkileşimlerle elde edilen çıktıları eyleme dönüştürme,SDB2.2.SB5.G2,Sosyal etkileşim yoluyla öğrendiği olumsuz davranışlardan kaçınır.
SDB2.3.SB1,Sosyal ipuçlarını dikkate almak,SDB2.3.SB1.G1,Sözel ve sözel olmayan sosyal ipuçlarının etkisini fark eder.
SDB2.3.SB1,Sosyal ipuçlarını dikkate almak,SDB2.3.SB1.G2,Sözel ve sözel olmayan sosyal ipuçlarını tanır.
SDB2.3.SB2,Başkalarının duygularını düşüncelerini ve bakış açılarını anlamak,SDB2.3.SB2.G1,Bir durum hakkında farklı düşünebileceğini ve hissedebileceğini fark eder.
SDB2.3.SB2,Başkalarının duygularını düşüncelerini ve bakış açılarını anlamak,SDB2.3.SB2.G2,Başkalarının duygularını bakış açılarını ve görüşlerini dikkatle dinler.
SDB2.3.SB2,Başkalarının duygularını düşüncelerini ve bakış açılarını anlamak,SDB2.3.SB2.G3,Başkalarıyla aynı fikirde olmadığını nazik bir şekilde ifade eder.
SDB2.3.SB3,Başkalarına karşı anlayış geliştirerek saygı göstermek,SDB2.3.SB3.G1,Kendisi ve başkaları arasındaki ortak yönleri belirler.
SDB2.3.SB3,Başkalarına karşı anlayış geliştirerek saygı göstermek,SDB2.3.SB3.G2,Kendisi ve başkaları arasındaki farklılıkları tespit eder.
SDB2.3.SB3,Başkalarına karşı anlayış geliştirerek saygı göstermek,SDB2.3.SB3.G3,Farklılıklarla ilgili düşüncelerini paylaşır.
SDB2.3.SB3,Başkalarına karşı anlayış geliştirerek saygı göstermek,SDB2.3.SB3.G4,Farklılıklara saygı duyar.
SDB2.3.SB3,Başkalarına karşı anlayış geliştirerek saygı göstermek,SDB2.3.SB3.G5,Farklılıklarla ilgili değerleri savunur.
SDB2.3.SB4,Toplumsal normlar hakkında bir anlayış geliştirmek,SDB2.3.SB4.G1,Okulunun yaşadığı toplumun veya dünyanın bir ihtiyacını/sorununu keşfeder.
SDB2.3.SB4,Toplumsal normlar hakkında bir anlayış geliştirmek,SDB2.3.SB4.G2,Topluma olumlu katkıda bulunmak için çabalar.
SDB2.3.SB4,Toplumsal normlar hakkında bir anlayış geliştirmek,SDB2.3.SB4.G3,Kendi ülkesinin miras ve varlıklarını koruma etkinliklerine katılır.
SDB2.3.SB4,Toplumsal normlar hakkında bir anlayış geliştirmek,SDB2.3.SB4.G4,Farklı kültürel miras ve varlıklarını koruma etkinliklerine katılır.
SDB3.1.SB1,Yeni değişen ve belirsiz durumları anlamak,SDB3.1.SB1.G1,Yeni belirsiz veya değişen durumlarla karşılaşmanın doğal olduğunu fark eder.
SDB3.1.SB1,Yeni değişen ve belirsiz durumları anlamak,SDB3.1.SB1.G2,Yeni belirsiz veya değişen durumların gerektirdiği değişim ihtiyacını fark eder.
SDB3.1.SB2,Yeni değişen ve belirsiz durumlar karşısında değişime açık ve istekli olmak,SDB3.1.SB2.G1,Yeni bakış açılarını öğrenmeye istekli olur.
SDB3.1.SB2,Yeni değişen ve belirsiz durumlar karşısında değişime açık ve istekli olmak,SDB3.1.SB2.G2,Yeni belirsiz veya değişen durumlarda esnek bir tutum benimsemeye gayret eder.
SDB3.1.SB3,Yeni değişen ve belirsiz durumlarla başa çıkmak için düşünce biçimini ayarlamak,SDB3.1.SB3.G1,Yeni bir durum hakkında düşünme şeklini gözden geçirir.
SDB3.1.SB4,Yeni değişen ve belirsiz durumlarda davranış veya eylemin doğasını seviyesini ve derecesini ayarlamak,SDB3.1.SB4.G1,Yeni bir durumla karşılaştığında uyum sağlamak için gerektiğinde davranışlarını düzenler.
SDB3.1.SB4,Yeni değişen ve belirsiz durumlarda davranış veya eylemin doğasını seviyesini ve derecesini ayarlamak,SDB3.1.SB4.G2,Kendisi için heyecan ya da kaygı yaratan durumları söyler.
SDB3.1.SB4,Yeni değişen ve belirsiz durumlarda davranış veya eylemin doğasını seviyesini ve derecesini ayarlamak,SDB3.1.SB4.G3,Kaygı oluşturan durumlarda kendini sakinleştirmenin yollarını bulur.
SDB3.1.SB5,Yeni değişen ve belirsiz bir çevreyle başarılı bir şekilde etkileşime geçmek için duygusal tepkileri ayarlamak,SDB3.1.SB5.G1,Yeni belirsiz veya değişen durumlar karşısında ortaya çıkan duygularını fark eder.
SDB3.1.SB5,Yeni değişen ve belirsiz bir çevreyle başarılı bir şekilde etkileşime geçmek için duygusal tepkileri ayarlamak,SDB3.1.SB5.G2,Yeni belirsiz veya değişen durumlarda kendisine yardımcı olması için olumlu duygulardan yararlanır.
SDB3.2.SB1,Zor durumlara farklı çözümler bulmak,SDB3.2.SB1.G1,Zor durumlarla karşılaşmanın doğal olduğunu fark eder.
SDB3.2.SB1,Zor durumlara farklı çözümler bulmak,SDB3.2.SB1.G2,Zor durumlarla baş edebilmek için farklı seçenekler olabileceğini fark eder.
SDB3.2.SB1,Zor durumlara farklı çözümler bulmak,SDB3.2.SB1.G3,Zor durumlarla karşılaştığı zaman olası çözümleri fark eder.
SDB3.2.SB1,Zor durumlara farklı çözümler bulmak,SDB3.2.SB1.G4,Zor durumlarla karşı karşıya kaldığında gerektiğinde yardım ister.
SDB3.2.SB2,Yeni durumlara uyum sağlamak,SDB3.2.SB2.G1,Yeni bir durumla karşılaştığında alternatif çözüm yolları bulur.
SDB3.2.SB2,Yeni durumlara uyum sağlamak,SDB3.2.SB2.G2,Bulduğu çözüm yollarından duruma en uygun olanı seçer.
SDB3.2.SB2,Yeni durumlara uyum sağlamak,SDB3.2.SB2.G3,Seçmiş olduğu çözüm yolunu uygular.
SDB3.3.SB1,Problemleri tanımlayıp çözmek,SDB3.3.SB1.G1,Karşılaştığı problemi tanımlar.
SDB3.3.SB1,Problemleri tanımlayıp çözmek,SDB3.3.SB1.G2,Problem ile ilgili sorular sorar.
SDB3.3.SB1,Problemleri tanımlayıp çözmek,SDB3.3.SB1.G3,Çözüm yollarını dener.
SDB3.3.SB2,Eylemlerinin sonuçlarını öngörmek,SDB3.3.SB2.G1,Eylemlerinin olası sonuçlarını fark eder.
SDB3.3.SB2,Eylemlerinin sonuçlarını öngörmek,SDB3.3.SB2.G2,Olumlu-olumsuz sonuçları görerek sorumluluk üstlenir.
SDB3.3.SB2,Eylemlerinin sonuçlarını öngörmek,SDB3.3.SB2.G3,Hatasını kabul ederek ifade eder.
SDB3.3.SB2,Eylemlerinin sonuçlarını öngörmek,SDB3.3.SB2.G4,Hatasını telafi edecek alternatif çözüm yolları arar.
SDB3.3.SB3,Gerekçeli yargıda bulunmak,SDB3.3.SB3.G1,Görüşlerinin nedenlerini açıklar.
SDB3.3.SB3,Gerekçeli yargıda bulunmak,SDB3.3.SB3.G2,Görüşlerini açıklarken neden-sonuç ilişkisi kurar.
SDB3.3.SB4,Alınan kararların ahlaki olarak uygunluğunu değerlendirmek,SDB3.3.SB4.G1,Kararlarının sorumluluğunu üstlenir.
SDB3.3.SB5,Derinlemesine düşünmek,SDB3.3.SB5.G1,Düşüncelerinin olası olumlu ve olumsuz sonuçlarını inceler.
SDB3.3.SB5,Derinlemesine düşünmek,SDB3.3.SB5.G2,Düşünce ve davranışlarının nedenlerini sorgular.